"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
368,24446,44670.06,59260.37,159.93,1375,413,0,16.56
369,24514,44696.91,59266.34,201.17,1689,404,0,20.52
370,25975,44701.99,59266.92,201.16,1981,412,0,17.80
371,26760,44710.18,59253.36,160.69,1060,419,0,21.36
372,28156,44752.69,59247.79,225.86,2324,402,0,19.49
373,28157,44752.69,59247.79,225.86,2324,402,0,19.49
374,28248,44696.14,59262.58,172.14,1305,412,0,19.75
375,30323,44731.89,59233.21,225.99,2321,405,0,19.20
376,31299,44718.89,59262.25,216.18,1544,411,0,25.93
377,32771,44662.03,59255.76,182.28,1338,412,0,21.47
378,33305,44691.53,59253.64,204.53,1635,404,0,21.86
379,33306,44691.53,59253.64,204.53,1635,404,0,21.86
380,35686,44703.25,59262.53,225.04,2256,397,0,19.31
381,37451,44732.66,59266.05,214.65,2100,404,0,18.93
382,37752,44668.81,59255.45,194.64,1574,402,0,20.61
383,37887,44718.46,59266.17,189.92,1460,416,0,21.37
384,38286,44710.05,59265.18,115.20,637,429,0,19.50
385,38642,44714.14,59259.70,183.02,1743,411,0,17.02
386,38643,44714.14,59259.70,183.02,1743,411,0,17.02
387,42204,44686.15,59262.86,218.58,1919,406,0,21.48
388,42205,44686.15,59262.86,218.58,1919,406,0,21.48
389,42594,44710.23,59259.14,213.65,1972,400,0,19.81
390,42595,44710.23,59259.14,213.65,1972,400,0,19.81
391,43302,44695.41,59265.65,185.24,1402,412,0,21.13
392,43509,44725.38,59253.80,171.29,1218,412,0,20.88
393,44713,44728.64,59265.68,174.55,1459,410,0,18.18
394,44714,44728.64,59265.68,174.55,1459,410,0,18.18
395,47953,44712.15,59257.25,220.37,1851,408,0,22.61
396,47954,44712.15,59257.25,220.37,1851,408,0,22.61
397,51799,44671.32,59263.14,172.93,1193,411,0,21.65
398,59569,44729.72,59262.39,205.08,2190,403,0,17.05
399,67458,44719.26,59241.72,228.21,2753,399,0,16.53
400,67459,44719.26,59241.72,228.21,2753,399,0,16.53
401,70513,44678.69,59262.28,217.25,2114,403,0,19.56
402,70514,44678.69,59262.28,217.25,2114,403,0,19.56
403,73636,44731.00,59265.58,188.33,1471,412,0,20.80
